Selected (label),Term,NoEmp,CreateJob,RetainedJob,UrbanRural,ChgOffPrinGr,GrAppv,SBA_Appv,New,RealEstate,Portion,Recession
1,240,19,6,19,1,0,1117000,1117000,0,1,1.0,0
0,36,1,0,1,1,8704,10000,5000,0,0,0.5,1
1,61,1,0,1,1,10000,10000,5000,0,0,0.5,0
1,60,4,1,4,1,85306,100000,50000,1,0,0.5,0
0,283,24,21,3,1,527577,1067000,800250,0,1,0.75,0
1,56,4,0,4,2,27308,30000,15000,0,0,0.5,0
0,29,31,6,31,1,49091,50000,25000,0,0,0.5,1
0,84,3,0,3,1,0,50000,25000,0,0,0.5,0
0,84,2,0,2,1,0,50000,25000,1,0,0.5,0
0,84,2,1,3,1,0,30000,15000,0,0,0.5,0
0,84,1,1,2,1,0,49000,24500,0,0,0.5,0
0,24,2,0,2,1,0,200000,100000,0,0,0.5,1
0,71,1,0,1,1,10000,10000,5000,0,0,0.5,0
0,64,5,3,5,1,23403,25000,12500,0,0,0.5,0
0,35,1,0,1,1,4476,10000,5000,0,0,0.5,1
1,55,7,3,7,1,99318,100000,50000,0,0,0.5,0
0,84,1,0,1,1,0,63000,31500,1,0,0.5,0
1,48,3,0,3,1,9900,10000,5000,0,0,0.5,0
1,84,1,0,1,1,0,45000,22500,0,0,0.5,0
1,61,38,0,38,1,40704,50000,25000,0,0,0.5,0
0,5,1,0,1,1,1580,10000,5000,1,0,0.5,0
1,9,4,2,4,1,8471,25000,21250,0,0,0.85,0
0,22,1,0,1,1,5491,15000,7500,0,0,0.5,1
1,84,1,0,1,1,0,25000,12500,0,0,0.5,0
0,52,1,0,1,1,27275,30000,15000,1,0,0.5,0
1,300,8,4,4,1,0,990000,742500,0,1,0.75,0
0,68,3,0,3,1,24229,25000,12500,0,0,0.5,0
1,84,1,1,1,1,0,25000,12500,0,0,0.5,0
0,120,15,0,15,1,0,1525000,1143750,0,0,0.75,0
0,84,2,1,2,2,0,50000,42500,0,0,0.85,0
0,120,3,2,5,1,0,278400,208800,1,0,0.75,0
1,35,4,0,4,1,6651,10000,5000,0,0,0.5,1
1,84,2,0,2,2,0,10000,5000,1,0,0.5,0
0,50,5,1,5,1,94880,100000,50000,0,0,0.5,0
1,84,3,0,3,1,0,62000,31000,1,0,0.5,0
0,120,150,0,0,2,0,2000000,1500000,0,0,0.75,0
0,63,14,6,14,1,46028,50000,25000,0,0,0.5,0
1,51,5,0,5,1,24245,25000,12500,1,0,0.5,0
0,44,2,3,2,1,22498,25000,12500,0,0,0.5,0
0,84,2,3,2,1,0,15000,7500,0,0,0.5,0
0,45,4,0,4,1,9578,10000,5000,1,0,0.5,0
0,45,4,0,4,1,49478,50000,25000,0,0,0.5,0
0,84,8,3,11,1,0,50000,25000,0,0,0.5,0
1,37,10,3,10,1,100000,100000,50000,0,0,0.5,0
0,69,1,4,5,1,0,360000,270000,1,0,0.75,0
1,32,1,4,5,1,0,100000,85000,1,0,0.85,1
0,2,4,2,4,1,39700,40000,20000,0,0,0.5,0
1,62,1,0,1,1,44319,50000,25000,0,0,0.5,0
1,84,1,0,1,1,0,30000,15000,0,0,0.5,0
1,24,12,0,12,1,21928,35000,17500,0,0,0.5,1
0,58,2,1,2,1,43847,50000,25000,0,0,0.5,0
0,84,2,0,2,1,0,50000,25000,0,0,0.5,0
0,51,12,3,12,1,37140,50000,25000,0,0,0.5,0
1,84,4,2,4,1,0,25000,12500,0,0,0.5,0
0,38,3,0,3,1,9703,10000,5000,0,0,0.5,0
0,50,2,0,2,1,35000,35000,17500,0,0,0.5,0
1,84,1,0,1,1,0,10000,5000,0,0,0.5,0
1,55,10,0,10,1,35000,35000,17500,0,0,0.5,0
1,58,13,1,13,1,99500,100000,50000,0,0,0.5,0
1,54,1,0,1,1,45818,50000,25000,0,0,0.5,0
1,64,2,0,2,1,30573,35000,17500,0,0,0.5,0
0,84,1,1,1,1,0,5000,2500,0,0,0.5,0
1,84,1,0,1,1,0,10000,5000,0,0,0.5,0
1,120,23,0,23,1,0,1000000,750000,0,0,0.75,0
0,84,2,0,2,1,0,25000,12500,0,0,0.5,0
0,84,2,0,2,1,0,25000,12500,0,0,0.5,0
1,64,2,0,2,1,10000,10000,5000,1,0,0.5,0
0,120,1,5,6,1,0,320000,240000,1,0,0.75,0
0,59,2,1,3,1,16557,20000,10000,0,0,0.5,0
1,23,3,3,3,1,31833,35000,17500,0,0,0.5,1
0,84,6,10,6,1,0,5000,2500,1,0,0.5,0
1,60,2,2,4,1,0,28000,14000,0,0,0.5,0
0,84,1,0,1,1,0,40000,20000,0,0,0.5,0
0,240,1,9,0,1,0,454000,454000,0,1,1.0,0
0,65,1,2,1,1,35000,35000,17500,0,0,0.5,0
1,84,2,1,3,1,0,10000,5000,0,0,0.5,0
0,84,3,0,3,2,0,5000,2500,1,0,0.5,0
0,84,1,0,1,1,0,35000,17500,0,0,0.5,0
1,90,2,1,1,1,0,125000,106250,0,0,0.85,0
0,51,7,0,7,1,35000,35000,17500,0,0,0.5,0
1,42,13,0,13,1,30588,35000,17500,0,0,0.5,0
1,44,1,0,1,1,3533,5500,2750,1,0,0.5,0
0,240,35,10,0,1,0,167000,167000,0,1,1.0,0
1,300,2,2,2,2,0,76500,65025,1,1,0.85,0
1,84,2,2,2,2,0,12500,10625,1,0,0.85,0
1,60,2,2,2,2,0,10000,8500,1,0,0.85,0
0,240,9,2,0,1,0,404000,404000,0,1,1.0,0
0,55,3,0,3,1,35000,35000,17500,0,0,0.5,0
0,43,2,0,2,1,9830,10000,5000,0,0,0.5,0
1,84,7,0,7,1,0,15000,7500,0,0,0.5,0
0,84,1,0,1,1,0,25000,12500,0,0,0.5,0
0,84,2,0,2,1,0,100000,50000,0,0,0.5,0
0,60,1,0,1,1,22998,23000,11500,1,0,0.5,0
0,279,12,0,12,1,181156,441000,330750,0,1,0.75,0
0,60,10,2,10,1,90000,100000,50000,0,0,0.5,0
1,36,1,0,1,2,0,50000,25000,1,0,0.5,0
0,240,5,10,0,1,0,344000,344000,0,1,1.0,0
0,56,1,0,1,1,10000,10000,5000,0,0,0.5,0
0,62,1,0,1,1,23200,24000,12000,0,0,0.5,0
0,61,15,0,15,1,94561,100000,50000,0,0,0.5,0
1,240,1,15,0,1,0,547000,547000,1,1,1.0,0
1,47,10,0,10,1,85000,85000,42500,0,0,0.5,0
0,9,1,4,1,1,20484,100000,50000,0,0,0.5,0
0,84,2,2,4,1,0,48000,24000,0,0,0.5,0
0,70,2,0,2,1,22353,30000,15000,0,0,0.5,0
0,84,1,0,1,1,0,16000,8000,0,0,0.5,0
0,72,8,5,13,1,0,150000,75000,1,0,0.5,0
0,84,3,1,4,1,0,25000,12500,0,0,0.5,0
0,84,3,0,3,1,0,20000,10000,0,0,0.5,0
0,68,4,2,6,1,30000,30000,15000,1,0,0.5,0
0,84,11,0,11,1,0,15000,7500,0,0,0.5,0
1,66,3,2,3,1,71384,75000,37500,0,0,0.5,0
1,259,2,2,2,1,190658,521538,391153,0,1,0.749999041,0
1,44,1,0,1,1,29016,29600,14800,0,0,0.5,0
0,65,1,0,1,1,14139,15000,12750,0,0,0.85,0
1,55,5,2,5,1,41569,50000,25000,0,0,0.5,0
0,45,6,0,6,1,49701,50000,25000,0,0,0.5,0
0,240,2,1,2,1,0,150000,150000,0,1,1.0,0
1,84,1,0,1,1,0,15000,7500,0,0,0.5,0
1,240,100,50,0,1,0,785000,785000,1,1,1.0,0
0,84,1,0,1,1,0,10000,5000,1,0,0.5,0
1,84,1,0,1,1,0,25000,12500,0,0,0.5,0
0,84,1,0,1,1,0,33000,16500,0,0,0.5,0
1,99,1,1,1,1,49121,60000,30000,1,0,0.5,0
1,35,3,0,3,2,25680,30000,15000,0,0,0.5,1
0,69,2,6,8,1,4885,5000,4250,1,0,0.85,0
0,56,1,2,1,1,20000,20000,10000,1,0,0.5,0
1,84,1,0,1,1,0,30000,15000,0,0,0.5,0
1,120,2,2,2,1,0,105000,89250,1,0,0.85,0
0,57,1,2,3,1,24320,25000,12500,0,0,0.5,0
0,35,1,2,3,1,4466,5000,2500,0,0,0.5,0
0,84,1,3,1,1,0,10000,5000,0,0,0.5,0
0,52,2,2,4,1,19999,20000,10000,1,0,0.5,0
1,240,7,12,1,1,0,475000,475000,0,1,1.0,0
1,84,1,0,1,1,0,15000,7500,0,0,0.5,0
1,84,3,0,3,1,0,50000,25000,0,0,0.5,0
0,60,4,0,4,1,0,70000,59500,0,0,0.85,0
0,84,3,2,3,1,0,25000,12500,0,0,0.5,0
0,220,23,0,23,1,11599,791000,593250,0,0,0.75,0
1,55,1,0,1,2,29630,30000,15000,0,0,0.5,0
1,67,1,1,1,1,33314,35000,17500,0,0,0.5,0
0,90,2,4,2,1,0,50000,25000,0,0,0.5,0
1,84,1,0,1,1,0,25000,12500,1,0,0.5,0
0,33,1,0,1,1,35000,35000,17500,0,0,0.5,0
0,84,1,0,1,1,0,25000,12500,0,0,0.5,0
0,58,2,0,2,1,29843,35000,17500,0,0,0.5,0
1,275,2,0,2,1,302116,590600,442950,1,1,0.75,0
1,84,5,0,5,1,0,100000,50000,0,0,0.5,0
0,52,1,1,2,1,19954,20000,10000,0,0,0.5,0
0,259,2,0,2,1,102282,531700,398775,0,1,0.75,0
1,39,4,0,4,1,34000,35000,17500,0,0,0.5,0
1,42,4,0,4,1,9852,10000,5000,0,0,0.5,0
0,58,2,0,2,2,24389,25000,12500,0,0,0.5,0
1,57,6,0,6,1,48892,50000,25000,1,0,0.5,0
1,84,1,2,3,1,0,33000,16500,1,0,0.5,0
1,84,1,1,1,1,0,50000,25000,0,0,0.5,0
0,49,1,0,1,1,4900,5000,2500,1,0,0.5,0
1,57,2,0,2,1,10000,10000,5000,1,0,0.5,0
0,30,2,0,2,1,49088,50000,25000,1,0,0.5,1
0,84,1,0,1,1,0,20000,10000,1,0,0.5,0
1,12,1,1,1,1,0,250000,187500,1,0,0.75,1
1,60,1,1,2,1,0,32100,16050,1,0,0.5,0
1,52,8,0,8,1,100000,100000,50000,0,0,0.5,0
1,57,10,5,10,1,150000,150000,127500,0,0,0.85,0
0,58,4,0,4,2,29978,30000,15000,0,0,0.5,0
1,22,1,0,1,1,19199,29000,14500,0,0,0.5,1
1,26,1,1,2,1,47554,50000,25000,0,0,0.5,0
0,48,1,0,1,1,85000,100000,50000,0,0,0.5,0
0,1,3,0,3,1,8430,12500,6250,0,0,0.5,0
1,277,4,0,0,1,37919,640700,480525,0,1,0.75,0
0,84,5,0,5,1,0,10000,5000,1,0,0.5,0
0,65,1,1,1,1,100000,100000,50000,0,0,0.5,0
1,300,4,0,4,1,0,230500,172875,0,1,0.75,0
1,240,13,37,13,2,0,392000,392000,0,1,1.0,0
1,59,5,3,8,1,19690,20000,10000,0,0,0.5,0
1,84,1,0,1,1,0,50000,25000,1,0,0.5,0
1,29,2,0,2,1,37499,40000,20000,0,0,0.5,1
1,84,1,0,1,1,0,10000,5000,0,0,0.5,0
1,97,1,0,1,1,23022,25000,21250,0,0,0.85,0
0,54,4,0,4,1,48152,50000,25000,0,0,0.5,0
1,65,7,2,7,1,88157,100000,50000,0,0,0.5,0
0,48,3,0,3,1,14340,20000,10000,0,0,0.5,0
1,84,2,0,2,1,0,25000,12500,0,0,0.5,0
1,84,3,1,3,2,0,50000,25000,0,0,0.5,0
1,75,5,0,5,2,50000,50000,25000,0,0,0.5,0
1,84,4,0,4,1,0,15000,7500,1,0,0.5,0
1,65,3,2,3,1,34000,35000,17500,0,0,0.5,0
0,27,100,0,100,1,552478,610000,457500,0,0,0.75,1
1,67,2,1,2,1,91904,100000,50000,0,0,0.5,0
0,32,4,1,5,1,34999,35000,17500,0,0,0.5,1
1,70,1,1,1,1,15000,15000,7500,0,0,0.5,0
0,54,1,1,1,1,16414,20000,17000,1,0,0.85,0
1,46,2,0,2,1,19974,20000,10000,0,0,0.5,0
1,50,2,0,2,1,18534,20000,10000,1,0,0.5,0
0,51,2,0,2,1,40000,40000,20000,1,0,0.5,0
1,20,4,0,4,1,3596,10000,5000,0,0,0.5,1
1,0,4,4,4,1,49256,50000,25000,0,0,0.5,0
1,36,4,4,4,1,5249,10000,5000,0,0,0.5,0
1,240,1,15,0,1,0,497000,497000,1,1,1.0,0
1,47,1,1,1,1,10854,15000,12750,0,0,0.85,0
1,84,2,0,2,1,0,50000,25000,1,0,0.5,0
0,59,1,0,1,1,20000,20000,10000,1,0,0.5,0
0,61,2,0,2,1,9618,10000,5000,0,0,0.5,0
1,58,1,0,1,1,19000,19000,9500,0,0,0.5,0
1,34,2,2,2,1,7263,15000,12750,0,0,0.85,0
0,99,2,2,2,1,62814,67500,57375,0,0,0.85,0
0,50,2,2,2,1,9179,10000,8500,0,0,0.85,0
0,57,2,0,2,1,49500,50000,25000,0,0,0.5,0
1,84,2,0,2,1,0,30000,15000,0,0,0.5,0
0,84,9,0,9,1,0,35000,17500,1,0,0.5,0
1,300,7,3,4,1,0,526000,394500,0,1,0.75,0
1,93,0,1,1,1,169818,193200,144900,1,0,0.75,0
0,4,3,0,3,1,24414,25000,12500,0,0,0.5,0
0,53,4,3,7,1,49140,50000,25000,0,0,0.5,0
1,43,6,0,6,1,34500,35000,17500,0,0,0.5,0
1,60,2,0,2,1,82020,100000,50000,0,0,0.5,0
0,60,2,0,2,1,0,19300,9650,1,0,0.5,0
0,64,5,0,5,1,50000,50000,25000,1,0,0.5,0
0,84,1,0,1,1,0,50000,25000,0,0,0.5,0
0,69,1,3,1,1,9049,10000,8500,0,0,0.85,0
1,44,2,0,2,1,51274,82500,41250,0,0,0.5,0
0,73,25,0,25,1,19489,20000,10000,0,0,0.5,0
0,65,1,0,1,1,44879,50000,25000,0,0,0.5,0
1,60,2,2,2,1,0,100000,50000,0,0,0.5,0
1,62,6,0,6,1,34500,35000,17500,0,0,0.5,0
0,63,2,0,2,1,18954,20000,10000,0,0,0.5,0
0,59,4,0,4,1,82500,82500,41250,0,0,0.5,0
1,84,2,0,2,2,0,25000,12500,0,0,0.5,0
0,57,1,0,1,1,34450,35000,17500,0,0,0.5,0
0,49,1,0,1,1,59149,100000,50000,0,0,0.5,0
1,84,16,0,16,1,0,25000,12500,0,0,0.5,0
0,275,16,5,16,2,156200,240000,180000,0,1,0.75,0
1,88,16,5,16,2,149780,160000,120000,0,0,0.75,0
0,240,50,15,0,1,0,341000,341000,0,1,1.0,0
1,273,16,5,16,2,23199,120000,90000,0,1,0.75,0
1,69,2,0,2,1,49021,50000,25000,0,0,0.5,0
0,60,2,0,2,1,0,104000,41600,0,0,0.4,0
1,26,1,5,6,1,32999,75000,37500,0,0,0.5,1
1,84,1,1,0,1,0,10000,8500,1,0,0.85,0
1,35,1,0,1,1,10392,12000,6000,0,0,0.5,0
0,45,1,2,1,1,4763,25000,12500,0,0,0.5,0
1,240,16,15,0,1,0,580000,580000,0,1,1.0,0
0,60,2,1,2,1,50000,50000,25000,0,0,0.5,0
0,84,3,0,3,1,0,5000,2500,1,0,0.5,0
0,111,6,0,6,1,0,35000,17500,1,0,0.5,0
0,62,2,0,2,1,49986,50000,25000,0,0,0.5,0
1,268,14,0,14,1,351877,481500,361125,0,1,0.75,0
0,68,1,0,1,1,46714,50000,25000,0,0,0.5,0
1,84,12,0,12,1,0,35000,17500,0,0,0.5,0
1,63,2,0,2,1,44750,45000,22500,0,0,0.5,0
1,48,1,0,1,2,23961,25000,12500,0,0,0.5,0
1,84,4,1,4,1,0,20000,10000,0,0,0.5,0
1,120,2,1,2,1,0,300000,225000,1,0,0.75,0
1,59,15,0,15,1,50000,50000,25000,0,0,0.5,0
1,55,5,1,5,1,80455,100000,50000,0,0,0.5,0
0,84,1,1,1,1,0,25000,21250,0,0,0.85,0
0,84,4,0,4,1,0,25000,12500,1,0,0.5,0
0,62,16,0,16,1,15000,15000,7500,0,0,0.5,0
1,84,1,0,1,1,0,15000,7500,0,0,0.5,0
0,240,15,5,0,1,0,286000,286000,0,1,1.0,0
0,61,2,0,2,1,9972,12000,6000,0,0,0.5,0
1,55,2,0,2,1,10220,12000,6000,1,0,0.5,0
0,240,5,30,0,1,0,165000,165000,1,1,1.0,0
1,61,1,0,1,1,34000,35000,17500,1,0,0.5,0
0,240,7,4,0,1,0,724000,724000,0,1,1.0,0
1,101,3,2,3,1,183829,200000,150000,0,0,0.75,0
1,30,1,0,1,1,5716,10000,5000,0,0,0.5,0
1,49,3,2,5,1,9989,10000,5000,0,0,0.5,0
1,43,7,0,7,1,19313,20000,10000,0,0,0.5,0
1,84,2,1,2,1,0,100000,50000,0,0,0.5,0
0,37,1,0,1,1,49645,50000,25000,0,0,0.5,0
0,240,5,5,0,1,0,371000,371000,0,1,1.0,0
0,63,12,2,14,1,45507,50000,25000,0,0,0.5,0
0,32,2,0,2,1,20755,25000,12500,0,0,0.5,0
1,240,7,2,0,1,0,598000,598000,0,1,1.0,0
0,35,3,1,3,1,50000,50000,25000,0,0,0.5,0
1,240,7,7,0,1,0,1003000,1003000,0,1,1.0,0
0,257,2,0,2,1,405890,716300,537225,0,1,0.75,0
0,51,1,0,0,1,4954,5000,2500,0,0,0.5,0
0,68,20,50,20,1,92524,100000,50000,0,0,0.5,0
0,240,1,26,0,1,0,1836000,1836000,0,1,1.0,0
1,240,6,8,6,1,0,1386000,1386000,1,1,1.0,0
1,300,4,1,3,1,0,1329000,996750,0,1,0.75,0
1,300,4,1,3,1,0,120000,90000,0,1,0.75,0
1,83,2,1,2,1,24221,25000,21250,0,0,0.85,0
0,68,5,0,5,1,50000,50000,25000,0,0,0.5,0
1,82,1,0,1,1,20689,25000,21250,1,0,0.85,0
0,240,140,45,0,1,0,893000,893000,0,1,1.0,0
0,84,2,0,2,1,0,35000,17500,0,0,0.5,0
0,43,4,0,4,1,35000,35000,17500,0,0,0.5,0
1,69,3,0,3,1,34421,55000,27500,0,0,0.5,0
1,60,1,1,1,1,78098,149800,127330,1,0,0.85,0
1,72,2,0,2,1,35000,35000,17500,0,0,0.5,0
1,84,1,0,1,2,0,20000,10000,0,0,0.5,0
1,84,1,0,1,1,0,50000,25000,0,0,0.5,0
0,36,6,3,9,1,0,150000,75000,0,0,0.5,0
0,71,1,1,1,1,23709,25000,12500,0,0,0.5,0
1,72,2,0,2,2,48842,50000,25000,0,0,0.5,0
1,38,8,0,8,2,44959,45000,22500,0,0,0.5,0
1,84,5,9,5,1,0,170000,127500,0,0,0.75,0
1,84,1,0,1,1,0,25000,12500,0,0,0.5,0
1,70,10,1,10,1,47648,50000,25000,0,0,0.5,0
0,74,1,0,4,2,493800,493800,370350,1,0,0.75,0
0,84,5,1,6,1,0,35000,17500,0,0,0.5,0
0,243,11,7,4,1,219484,882000,661500,0,1,0.75,0
1,61,5,0,5,1,21189,25000,12500,1,0,0.5,0
1,68,1,0,1,1,9800,10000,5000,0,0,0.5,0
0,84,1,0,1,1,0,5000,2500,1,0,0.5,0
1,84,4,0,4,1,0,4500,2250,1,0,0.5,0
1,31,1,0,1,2,6400,8000,4000,1,0,0.5,0
0,289,5,2,5,1,776318,1493000,1119750,0,1,0.75,0
1,55,9,0,9,1,34656,50000,25000,0,0,0.5,0
1,68,3,0,3,1,49912,50000,25000,0,0,0.5,0
0,59,6,3,6,1,83771,100000,50000,0,0,0.5,0
1,74,13,3,13,1,34953,35000,17500,0,0,0.5,0
0,55,7,0,7,1,47876,50000,25000,0,0,0.5,0
0,84,2,0,2,1,0,50000,25000,0,0,0.5,0
1,297,15,0,0,2,208072,271900,203925,0,1,0.75,0
0,23,3,0,3,1,17809,20000,10000,0,0,0.5,1
1,51,1,0,1,1,50000,50000,25000,0,0,0.5,0
0,64,56,0,56,1,35000,35000,17500,0,0,0.5,0
1,71,3,0,3,1,29998,30000,15000,0,0,0.5,0
1,84,3,0,3,1,0,5000,2500,1,0,0.5,0
0,287,6,0,6,1,388255,658000,493500,0,1,0.75,0
0,84,1,0,1,1,0,8000,4000,0,0,0.5,0
1,84,4,0,4,1,0,50000,25000,0,0,0.5,0
0,287,6,0,6,1,83522,120500,90375,0,1,0.75,0
1,58,7,0,7,2,49468,50000,25000,0,0,0.5,0
0,40,0,0,0,1,9662,15000,12750,1,0,0.85,0
0,63,1,0,1,1,6000,6000,3000,1,0,0.5,0
0,84,1,0,1,1,0,10000,5000,1,0,0.5,0
0,98,2,2,2,1,140529,251000,188250,1,0,0.75,0
0,120,8,0,8,1,0,300000,225000,0,0,0.75,0
1,240,18,4,0,1,0,180000,180000,0,1,1.0,0
1,84,3,1,4,1,0,25000,12500,0,0,0.5,0
1,19,1,0,1,1,10283,15000,7500,0,0,0.5,1
1,68,1,0,1,1,30000,30000,15000,0,0,0.5,0
0,59,2,0,2,1,35000,35000,17500,1,0,0.5,0
0,45,6,0,6,1,33000,35000,17500,0,0,0.5,0
1,84,1,0,1,1,0,30000,15000,0,0,0.5,0
0,275,2,0,2,1,334176,612000,459000,0,1,0.75,0
0,64,15,2,15,1,9800,10000,5000,0,0,0.5,0
1,45,20,20,40,1,88462,90000,45000,0,0,0.5,0
0,240,36,4,36,1,0,804000,804000,0,1,1.0,0
1,36,2,0,2,1,8296,15000,12750,0,0,0.85,0
1,90,2,0,2,1,22592,25000,21250,0,0,0.85,0
0,291,1,0,1,1,205202,540000,405000,0,1,0.75,0
0,288,3,2,5,1,0,534200,400650,0,1,0.75,0
1,47,6,0,6,1,29776,30000,15000,0,0,0.5,0
1,93,2,0,2,1,189555,200000,100000,0,0,0.5,0
0,71,10,0,10,1,35000,35000,17500,1,0,0.5,0
0,120,0,11,11,1,0,350000,262500,1,0,0.75,0
1,60,5,0,5,1,0,80000,40000,0,0,0.5,0
1,56,2,0,2,1,23509,25000,12500,0,0,0.5,0
0,12,2,2,4,2,0,25000,12500,1,0,0.5,0
0,48,8,0,8,1,34300,35000,17500,0,0,0.5,0
1,69,6,0,6,1,35000,35000,17500,0,0,0.5,0
0,240,10,7,10,1,0,234000,234000,0,1,1.0,0
0,58,1,0,1,1,16950,20000,10000,0,0,0.5,0
1,70,9,1,9,1,40000,40000,20000,0,0,0.5,0
1,63,3,0,3,2,49671,50000,25000,0,0,0.5,0
1,65,3,0,3,1,49166,50000,25000,0,0,0.5,0
1,59,4,0,4,1,50000,50000,25000,0,0,0.5,0
0,69,2,0,2,1,23212,25000,12500,0,0,0.5,0
0,72,9,0,9,1,0,25000,12500,0,0,0.5,0
1,84,24,0,24,1,0,150000,75000,0,0,0.5,0
0,240,65,35,65,1,0,1620000,1620000,0,1,1.0,0
0,59,8,4,8,2,46135,50000,25000,0,0,0.5,0
