Default (label),Recession,New,RealEstate,DisbursementGross,Portion
1,0,0,0,25000,0.85
1,1,0,0,23037,0.5
0,0,0,0,25000,0.5
1,0,1,0,30000,0.5
0,0,0,1,990000,0.75
1,0,0,0,25000,0.5
0,0,0,0,25000,0.5
0,0,0,0,1525000,0.75
0,0,0,0,50000,0.85
0,0,1,0,278400,0.75
1,1,0,0,26582,0.5
0,0,1,0,10000,0.5
1,0,0,0,100000,0.5
0,0,1,0,62000,0.5
0,0,0,0,2000000,0.75
1,0,0,0,50000,0.5
1,0,1,0,39384,0.5
1,0,0,0,60057,0.5
0,0,0,0,15000,0.5
1,0,1,0,21689,0.5
1,0,0,0,70015,0.5
0,0,0,0,110174,0.5
1,0,0,0,160000,0.5
0,0,1,0,184101,0.75
0,1,1,0,100000,0.85
1,0,0,0,92900,0.5
1,0,0,0,50000,0.5
0,0,0,0,109842,0.5
1,1,0,0,77200,0.5
1,0,0,0,50000,0.5
0,0,0,0,164554,0.5
1,0,0,0,50000,0.5
0,0,0,0,25000,0.5
1,0,0,0,18063,0.5
1,0,0,0,55000,0.5
0,0,0,0,20000,0.5
1,0,0,0,64000,0.5
1,0,0,0,159500,0.5
1,0,0,0,165193,0.5
1,0,0,0,105000,0.5
0,0,0,0,5000,0.5
0,0,0,0,10000,0.5
0,0,0,0,1000000,0.75
0,0,0,0,25000,0.5
0,0,0,0,25015,0.5
1,0,1,0,10000,0.5
0,0,1,0,320000,0.75
1,0,0,0,33967,0.5
1,1,0,0,84349,0.5
0,0,1,0,5000,0.5
0,0,0,0,28000,0.5
0,0,0,0,263954,0.5
0,0,0,1,454000,1.0
1,0,0,0,40000,0.5
0,0,0,0,11975,0.5
0,0,1,0,5000,0.5
0,0,0,0,89947,0.5
0,0,0,0,125000,0.85
1,0,0,0,75000,0.5
1,0,0,0,64000,0.5
1,0,1,0,9500,0.5
0,0,0,1,161000,1.0
0,0,1,1,76500,0.85
0,0,1,0,12500,0.85
0,0,1,0,10000,0.85
0,0,0,1,404000,1.0
1,0,0,0,58000,0.5
1,0,0,0,15000,0.5
0,0,0,0,15000,0.5
0,0,0,0,25000,0.5
0,0,0,0,100000,0.5
1,0,1,0,23000,0.5
1,0,0,1,441000,0.75
1,0,0,0,110000,0.5
0,0,1,0,109368,0.5
0,0,0,1,344000,1.0
1,0,0,0,10000,0.5
1,0,0,0,34200,0.5
1,0,0,0,162394,0.5
0,0,1,1,547000,1.0
1,0,0,0,150000,0.5
1,0,0,0,100000,0.5
0,0,0,0,48204,0.5
1,0,0,0,44581,0.5
0,0,0,0,16000,0.5
0,0,1,0,309056,0.5
0,0,0,0,43922,0.5
0,0,0,0,78180,0.5
1,0,1,0,33528,0.5
0,0,0,0,15000,0.5
1,0,0,0,75000,0.5
1,0,0,1,502530,0.749999041
1,0,0,0,132480,0.5
1,0,0,0,15000,0.85
1,0,0,0,50000,0.5
1,0,0,0,121612,0.5
0,0,0,1,150000,1.0
0,0,0,0,15000,0.5
0,0,1,1,785000,1.0
0,0,1,0,13000,0.5
0,0,0,0,25000,0.5
0,0,0,0,62758,0.5
1,0,1,0,60000,0.5
1,1,0,0,62933,0.5
1,0,1,0,5000,0.85
1,0,1,0,20000,0.5
0,0,0,0,68571,0.5
0,0,1,0,105000,0.85
1,0,0,0,48948,0.5
1,0,0,0,11688,0.5
0,0,0,0,10000,0.5
1,0,1,0,50192,0.5
0,0,0,1,475000,1.0
0,0,0,0,15000,0.5
0,0,0,0,232760,0.5
0,0,0,0,70000,0.85
0,0,0,0,25000,0.5
1,0,0,0,791000,0.75
1,0,0,0,58725,0.5
1,0,0,0,35000,0.5
0,0,0,0,50000,0.5
0,0,1,0,25000,0.5
1,0,0,0,62500,0.5
0,0,0,0,25000,0.5
1,0,0,0,35000,0.5
1,0,1,1,590600,0.75
0,0,0,0,264888,0.5
1,0,0,0,40212,0.5
1,0,0,1,531700,0.75
1,0,0,0,52000,0.5
1,0,0,0,45818,0.5
1,0,0,0,67146,0.5
1,0,1,0,74900,0.5
0,0,1,0,102653,0.5
0,0,0,0,109300,0.5
1,0,1,0,11850,0.5
1,0,1,0,19500,0.5
1,1,1,0,88080,0.5
0,0,1,0,36379,0.5
0,1,1,0,250000,0.75
0,0,1,0,32100,0.5
1,0,0,0,159432,0.5
1,0,0,0,150000,0.85
1,0,0,0,63864,0.5
1,1,0,0,85682,0.5
1,0,0,0,97836,0.5
1,0,0,0,339070,0.5
1,0,0,0,20646,0.5
1,0,0,1,640700,0.75
0,0,1,0,12550,0.5
1,0,0,0,110000,0.5
0,0,0,1,230500,0.75
0,0,0,1,389000,1.0
1,0,0,0,40808,0.5
0,0,1,0,50000,0.5
1,1,0,0,115984,0.5
0,0,0,0,18770,0.5
1,0,0,0,25000,0.85
1,0,0,0,127962,0.5
1,0,0,0,100000,0.5
1,0,0,0,38876,0.5
0,0,0,0,25000,0.5
0,0,0,0,50000,0.5
1,0,0,0,54913,0.5
0,0,1,0,22500,0.5
1,0,0,0,35000,0.5
1,1,0,0,610000,0.75
1,0,0,0,100000,0.5
1,1,0,0,77538,0.5
1,0,0,0,15000,0.5
1,0,1,0,20000,0.85
1,0,0,0,29961,0.5
1,0,1,0,39274,0.5
1,0,1,0,109424,0.5
1,1,0,0,23489,0.5
1,0,0,0,101056,0.5
1,0,0,0,14649,0.5
0,0,1,1,497000,1.0
1,0,0,0,15000,0.85
0,0,1,0,94049,0.5
1,0,1,0,35266,0.5
1,0,0,0,14950,0.5
1,0,0,0,19000,0.5
1,0,0,0,15000,0.85
1,0,0,0,67500,0.85
1,0,0,0,10000,0.85
1,0,0,0,89000,0.5
0,0,0,0,96367,0.5
0,0,1,0,87550,0.5
0,0,0,1,526000,0.75
1,0,1,0,193200,0.75
1,0,0,0,52508,0.5
1,0,0,0,163743,0.5
1,0,0,0,81750,0.5
1,0,0,0,100000,0.5
0,0,1,0,19300,0.5
1,0,1,0,65000,0.5
0,0,0,0,50000,0.5
1,0,0,0,10000,0.85
1,0,0,0,82500,0.5
1,0,0,0,20000,0.5
1,0,0,0,101173,0.5
0,0,0,0,100000,0.5
1,0,0,0,55000,0.5
1,0,0,0,22543,0.5
1,0,0,0,83323,0.5
0,0,0,0,70460,0.5
1,0,0,0,69000,0.5
1,0,0,0,100000,0.5
0,0,0,0,37500,0.5
1,0,0,1,240000,0.75
1,0,0,0,160000,0.75
0,0,0,1,341000,1.0
1,0,0,1,120000,0.75
1,0,0,0,100000,0.5
0,0,0,0,104000,0.4
1,1,0,0,55000,0.5
0,0,1,0,10000,0.85
1,0,0,0,17924,0.5
1,0,0,0,77149,0.5
0,0,0,1,580000,1.0
1,0,0,0,78000,0.5
0,0,1,0,5000,0.5
0,0,1,0,35331,0.5
1,0,0,0,59764,0.5
1,0,0,1,481500,0.75
1,0,0,0,50000,0.5
0,0,0,0,47000,0.5
1,0,0,0,49546,0.5
1,0,0,0,74093,0.5
0,0,0,0,30000,0.5
0,0,1,0,300000,0.75
1,0,0,0,50000,0.5
1,0,0,0,100000,0.5
0,0,0,0,25000,0.85
0,0,1,0,60401,0.5
1,0,0,0,15000,0.5
0,0,0,0,20500,0.5
0,0,0,1,286000,1.0
1,0,0,0,16972,0.5
1,0,1,0,22000,0.5
0,0,1,1,165000,1.0
1,0,1,0,38000,0.5
0,0,0,1,724000,1.0
1,0,0,0,200000,0.75
1,0,0,0,24796,0.5
1,0,0,0,14994,0.5
1,0,0,0,40000,0.5
0,0,0,0,100000,0.5
1,0,0,0,95209,0.5
0,0,0,1,371000,1.0
1,0,0,0,85125,0.5
1,0,0,0,49700,0.5
0,0,0,1,598000,1.0
1,0,0,0,116738,0.5
0,0,0,1,1003000,1.0
1,0,0,1,676500,0.75
1,0,0,0,14002,0.5
1,0,0,0,100000,0.5
0,0,0,1,1836000,1.0
0,0,1,1,1386000,1.0
0,0,0,1,1329000,0.75
0,0,0,1,120000,0.75
1,0,0,0,25000,0.85
1,0,0,0,57000,0.5
1,0,1,0,25000,0.85
0,0,0,1,764000,1.0
0,0,0,0,73750,0.5
1,0,0,0,35000,0.5
1,0,0,0,55000,0.5
1,0,1,0,149800,0.85
1,0,0,0,47000,0.5
0,0,0,0,52808,0.5
0,0,0,0,125347,0.5
0,0,0,0,150000,0.5
1,0,0,0,25000,0.5
1,0,0,0,101508,0.5
1,0,0,0,118150,0.5
0,0,0,0,170000,0.75
0,0,0,0,30000,0.5
1,0,0,0,100390,0.5
1,0,1,0,493800,0.75
0,0,0,0,129783,0.5
1,0,0,1,882000,0.75
1,0,1,0,25000,0.5
1,0,0,0,10000,0.5
0,0,1,0,5000,0.5
0,0,1,0,8500,0.5
1,0,1,0,11987,0.5
1,0,0,1,1480000,0.75
1,0,0,0,67328,0.5
1,0,0,0,72676,0.5
1,0,0,0,109495,0.5
1,0,0,0,35000,0.5
1,0,0,0,55550,0.5
0,0,0,0,50000,0.5
1,0,0,1,271900,0.75
1,1,0,0,45776,0.5
1,0,0,0,135269,0.5
1,0,0,0,35000,0.5
1,0,0,0,30000,0.5
0,0,1,0,5000,0.5
1,0,0,1,658000,0.75
0,0,0,0,15382,0.5
0,0,0,0,50000,0.5
1,0,0,1,85000,0.75
1,0,0,0,64696,0.5
0,0,1,0,15000,0.85
1,0,1,0,11000,0.5
0,0,1,0,20100,0.5
1,0,1,0,251000,0.75
0,0,0,0,300000,0.75
0,0,0,1,146000,1.0
0,0,0,0,93800,0.5
1,1,0,0,32321,0.5
1,0,0,0,30000,0.5
1,0,1,0,52500,0.5
1,0,0,0,51500,0.5
0,0,0,0,58372,0.5
1,0,0,1,612000,0.75
1,0,0,0,14500,0.5
1,0,0,0,227232,0.5
0,0,0,1,804000,1.0
1,0,0,0,15000,0.85
1,0,0,0,25000,0.85
1,0,0,1,540000,0.75
0,0,0,1,534200,0.75
1,0,0,0,75015,0.5
1,0,0,0,200000,0.5
1,0,1,0,35000,0.5
0,0,1,0,350000,0.75
0,0,0,0,80000,0.5
1,0,0,0,34307,0.5
0,0,1,0,43550,0.5
1,0,0,0,72150,0.5
1,0,0,0,35000,0.5
0,0,0,1,234000,1.0
1,0,0,0,41711,0.5
1,0,0,0,65000,0.5
1,0,0,0,102088,0.5
1,0,0,0,50000,0.5
1,0,0,0,80000,0.5
1,0,0,0,25000,0.5
0,0,0,0,49190,0.5
0,0,0,0,385024,0.5
0,0,0,1,1620000,1.0
1,0,0,0,158329,0.5
1,0,0,0,70000,0.5
1,0,0,0,64391,0.5
1,0,0,0,189000,0.5
0,0,0,1,883000,1.0
0,0,0,1,848000,1.0
1,0,0,0,63780,0.5
1,0,0,0,1060000,0.75
1,0,0,0,135151,0.5
0,0,0,0,35000,0.5
0,0,0,0,7500,0.85
1,1,0,0,25035,0.5
1,0,0,0,63104,0.5
0,0,0,0,15000,0.5
1,1,0,0,146560,0.5
0,0,0,1,544000,1.0
1,1,0,0,50000,0.5
0,0,0,1,248000,1.0
0,0,0,1,322000,1.0
1,0,0,0,62145,0.5
1,0,1,0,27187,0.5
0,0,0,0,64900,0.5
0,0,0,0,44700,0.5
1,0,0,0,19000,0.5
0,0,0,0,85128,0.5
1,0,0,0,32914,0.5
0,0,1,0,25500,0.5
1,0,0,0,52500,0.5
1,1,0,0,104304,0.5
1,0,0,0,139952,0.5
0,0,0,0,15000,0.5
1,0,0,0,10000,0.85
1,0,0,0,88974,0.5
0,0,0,1,157000,1.0
1,0,0,0,25000,0.85
0,0,0,0,51918,0.5
1,0,0,0,71000,0.5
1,0,0,0,25706,0.5
0,0,0,1,1124000,1.0
1,0,0,0,65000,0.5
1,0,0,0,82500,0.5
1,0,0,0,35000,0.5
1,0,0,0,77513,0.5
0,0,0,0,100000,0.5
1,1,0,0,135600,0.5
0,0,0,1,1029000,1.0
1,0,0,0,100000,0.5
1,0,1,0,150000,0.85
1,0,0,0,70761,0.5
1,0,1,0,10000,0.85
0,0,0,1,798000,1.0
0,0,0,0,37500,0.5
1,0,0,0,12500,0.85
1,0,0,0,70218,0.5
0,0,0,1,409000,1.0
1,0,0,0,550000,0.75
1,0,1,0,10000,0.85
1,0,0,0,65200,0.5
1,1,0,0,101827,0.5
0,0,0,1,1491000,1.0
1,0,1,0,19900,0.5
1,0,1,0,52103,0.5
1,0,0,0,94836,0.5
1,0,0,0,72500,0.5
1,0,0,0,38000,0.5
1,0,1,0,10000,0.85
0,0,0,0,100000,0.5
1,0,0,0,35000,0.5
0,0,0,1,597000,1.0
1,0,0,0,20000,0.85
1,0,0,0,127023,0.5
0,0,0,0,45000,0.5
1,0,1,0,39000,0.5
0,0,0,0,161873,0.5
0,0,0,1,648000,1.0
0,0,0,0,35000,0.85
1,0,0,0,100000,0.5
0,0,0,1,1400000,0.75
1,0,0,0,50000,0.5
0,0,0,0,29672,0.5
1,0,0,0,25000,0.85
1,0,0,0,52300,0.5
1,0,0,0,64494,0.5
0,0,0,0,20000,0.5
1,0,0,0,83916,0.5
1,0,1,0,35000,0.85
0,0,0,0,86967,0.5
0,0,0,1,310000,1.0
1,0,0,0,109550,0.5
0,0,0,0,49320,0.5
1,0,0,0,35000,0.5
0,0,0,1,641000,1.0
1,0,0,0,35000,0.85
1,0,0,0,10000,0.85
1,0,0,0,100000,0.5
0,1,1,0,200000,0.5
0,0,0,0,55077,0.5
1,0,0,0,39584,0.5
1,0,0,0,55000,0.5
0,0,0,0,43753,0.5
0,0,1,0,17487,0.5
1,0,0,0,62500,0.5
0,0,0,0,25000,0.5
1,0,0,0,132000,0.85
0,1,0,0,10000,0.5
1,0,0,0,28010,0.5
1,0,1,0,41905,0.5
1,0,0,0,37500,0.5
0,0,0,1,761000,1.0
0,0,0,1,231000,1.0
1,0,0,0,59667,0.5
1,0,1,0,153897,0.5
1,0,0,0,128478,0.5
0,0,0,0,320500,0.75
1,0,0,0,103059,0.5
1,0,0,0,20000,0.5
1,0,0,0,50000,0.5
0,0,0,0,50000,0.5
1,0,0,0,49773,0.5
1,0,1,0,49753,0.5
1,0,1,0,88911,0.5
1,0,0,0,69000,0.5
0,0,0,0,36317,0.5
1,0,0,0,35000,0.85
1,0,0,0,60963,0.5
1,0,0,0,78191,0.5
0,0,0,1,529000,1.0
1,0,0,0,69197,0.5
1,0,0,0,70000,0.5
0,0,0,0,67011,0.5
1,0,0,0,700000,0.75
0,0,0,0,110010,0.5
1,0,0,0,40739,0.5
1,0,0,0,98333,0.5
1,0,0,0,24666,0.5
0,0,0,0,41471,0.5
0,0,0,0,61401,0.5
0,0,0,1,720000,1.0
1,0,1,0,40000,0.85
1,0,0,0,2000000,0.75
0,0,0,0,200000,0.75
1,0,0,0,65722,0.5
0,0,0,0,18238,0.5
1,0,0,0,100000,0.5
0,0,0,0,115000,0.5
0,0,0,0,100000,0.85
1,0,1,0,7500,0.5
1,0,1,0,7500,0.5
1,0,0,0,195000,0.5
0,0,0,0,48350,0.5
1,0,0,0,72175,0.5
1,0,0,1,1944300,0.75
0,0,0,0,450000,0.75
1,0,0,0,69500,0.5
1,0,0,0,52500,0.5
1,0,0,0,42925,0.5
0,0,1,0,148000,0.85
1,0,0,0,98180,0.5
1,0,1,0,10000,0.85
0,0,0,0,70000,0.5
1,0,0,0,14805,0.5
1,0,0,0,15000,0.85
0,0,0,1,1093000,1.0
0,0,0,0,125155,0.5
1,0,0,0,124060,0.5
1,0,0,0,35000,0.5
1,0,0,0,68791,0.5
1,0,0,0,14662,0.5
1,0,0,0,61427,0.5
0,0,1,0,277000,0.75
1,0,0,0,50000,0.85
1,0,0,0,90000,0.5
1,0,0,0,56829,0.5
1,0,1,0,25000,0.85
0,0,0,0,25000,0.5
0,0,0,0,12350,0.5
0,0,0,0,50000,0.85
1,0,0,1,373100,0.75
0,0,0,1,585000,1.0
0,0,1,0,20000,0.5
0,0,0,1,1025000,1.0
0,0,0,0,89026,0.5
1,0,1,0,111425,0.5
0,0,0,0,46543,0.5
1,0,0,0,109948,0.5
1,0,0,0,88851,0.5
1,1,0,0,92803,0.5
1,0,1,0,24972,0.5
1,0,1,0,146462,0.5
1,0,0,0,105000,0.5
0,0,0,0,27000,0.5
0,0,0,0,45061,0.5
1,0,0,0,121210,0.5
1,0,0,0,6861,0.5
1,0,0,0,19260,0.5
1,0,0,0,156000,0.5
1,0,0,0,17000,0.5
1,0,0,0,132578,0.5
0,0,0,0,12500,0.85
0,0,1,0,15000,0.5
1,0,0,0,22215,0.5
1,0,0,0,47000,0.5
1,0,0,1,542200,0.75
0,0,1,1,425000,1.0
0,0,1,0,150000,0.5
1,0,0,0,50000,0.5
1,0,0,0,52500,0.5
1,0,0,0,195266,0.5
1,0,0,0,55619,0.5
1,1,0,0,79800,0.5
0,0,0,0,10121,0.5
1,0,0,0,90325,0.5
1,0,0,0,30771,0.5
0,0,0,0,20000,0.5
1,0,0,0,68500,0.5
0,0,0,0,866900,0.75
1,0,0,0,25000,0.85
0,0,0,0,10000,0.5
0,0,0,0,50000,0.5
1,0,0,0,66881,0.5
1,1,0,0,37260,0.5
1,0,0,0,65944,0.5
1,0,0,0,30600,0.5
0,0,0,1,291000,1.0
0,0,0,0,25000,0.5
1,0,1,0,44665,0.5
1,0,0,0,25000,0.85
0,0,0,0,25000,0.5
1,0,0,0,90496,0.5
1,0,0,0,101259,0.5
1,0,0,0,15000,0.85
0,0,0,0,29509,0.5
0,0,0,0,30665,0.5
1,0,0,0,113622,0.5
0,0,1,0,24939,0.5
0,0,0,0,22500,0.5
0,0,1,0,20100,0.5
1,0,0,0,67455,0.5
0,0,0,1,281000,1.0
0,0,0,0,28163,0.5
0,0,0,1,268000,1.0
0,0,0,0,25000,0.5
1,0,0,0,66955,0.5
1,0,0,0,116990,0.5
1,0,0,0,35000,0.85
1,0,0,0,25000,0.85
1,0,0,0,5000,0.85
0,0,0,1,1799000,1.0
0,0,0,0,46000,0.5
1,0,0,0,129020,0.5
0,0,1,0,30000,0.5
1,0,0,0,29914,0.5
1,0,0,0,25000,0.85
1,0,0,0,128984,0.5
1,0,1,0,24190,0.5
1,0,0,0,79860,0.5
1,0,0,0,50000,0.5
0,0,0,1,1048000,0.75
1,0,0,0,121526,0.5
0,0,1,0,5600,0.5
0,0,0,0,30000,0.5
0,0,0,0,36034,0.5
1,0,0,0,54312,0.5
0,0,1,0,158144,0.5
1,0,0,0,114584,0.5
0,0,0,0,30000,0.5
1,0,0,0,35000,0.85
1,0,0,0,52776,0.5
0,0,0,1,1596200,0.75
1,0,0,0,25000,0.5
0,0,0,0,40000,0.5
1,0,0,0,50000,0.5
0,0,0,0,20000,0.5
1,0,0,0,42478,0.5
0,0,0,1,268000,1.0
0,0,0,0,50000,0.5
1,0,1,0,23262,0.5
1,0,0,0,40876,0.5
1,0,0,0,125537,0.5
1,0,0,0,60407,0.5
1,0,1,0,150000,0.85
0,0,0,0,80606,0.5
0,0,0,1,318000,1.0
0,0,0,1,1655000,1.0
1,0,1,0,10000,0.85
1,0,0,0,50000,0.85
0,0,0,0,50000,0.5
0,0,0,1,1583000,1.0
0,0,0,0,34520,0.5
1,0,0,0,51400,0.5
0,0,0,0,34433,0.5
1,0,0,0,70000,0.5
0,1,1,0,47499,0.5
1,0,0,0,75873,0.5
0,0,0,0,148180,0.5
1,0,0,0,238500,0.5
0,0,0,0,98653,0.5
0,0,0,1,675000,1.0
0,0,0,0,129972,0.5
1,0,0,0,175524,0.5
1,0,0,0,117103,0.5
1,0,1,0,20000,0.85
1,0,1,0,15000,0.5
0,0,0,1,201000,1.0
0,0,0,0,33739,0.5
1,0,0,0,20000,0.85
1,0,0,0,12500,0.85
1,0,0,0,46482,0.5
0,0,1,0,12500,0.85
0,0,0,0,37725,0.5
0,0,0,1,364000,1.0
0,0,0,0,83943,0.5
1,0,0,0,53371,0.5
0,0,0,1,365000,1.0
1,0,0,0,79937,0.5
1,0,0,0,20000,0.85
0,0,0,0,7500,0.5
0,0,0,0,910000,0.75
0,0,0,0,123799,0.5
1,0,1,0,25000,0.85
0,0,0,1,165000,1.0
0,0,0,0,10000,0.85
0,0,0,0,575000,0.75
0,0,0,0,151463,0.5
0,0,0,1,296000,1.0
0,0,1,0,308500,0.75
1,0,0,0,5000,0.85
0,0,0,1,820000,1.0
1,0,0,0,150000,0.85
0,0,0,0,639400,0.75
1,0,0,0,1375000,0.75
0,0,0,1,1682000,1.0
0,0,0,1,658000,1.0
0,0,0,0,750000,0.75
0,0,0,0,50000,0.5
1,0,0,0,200000,0.5
0,0,0,0,50000,0.5
1,0,0,0,60858,0.5
0,0,1,0,10000,0.85
0,0,0,0,2000000,0.75
0,0,1,0,130000,0.5
1,0,0,0,7500,0.85
0,0,0,0,460000,0.75
1,0,0,0,7500,0.85
0,0,0,0,5000,0.85
1,0,0,1,479000,0.75
1,0,0,0,25000,0.85
0,0,0,0,25000,0.85
1,0,0,0,32375,0.5
1,0,0,0,10000,0.85
0,0,0,1,712700,0.75
1,0,1,0,10000,0.9
0,0,0,1,215000,1.0
0,0,0,1,1665000,0.9
0,0,0,1,285000,0.9
0,0,0,0,243000,0.9
0,0,0,0,250000,0.5
0,0,0,0,50000,0.5
1,0,0,0,200000,0.5
1,0,1,0,7500,0.9
0,0,0,0,936000,0.9
1,0,0,0,235000,0.75
1,0,0,0,25000,0.9
0,0,0,1,803000,1.0
0,0,0,0,50570,0.5
0,0,0,0,122049,0.5
1,0,0,0,10000,0.9
0,0,1,0,10000,0.9
1,0,0,0,435000,0.9
0,0,0,0,1500000,0.9
1,0,0,0,7500,0.9
0,0,0,0,25000,0.9
0,0,0,0,200000,0.75
0,0,0,1,1556000,0.9
0,0,0,0,504000,0.9
0,0,0,1,872400,0.9
0,0,0,1,580000,0.9
0,0,1,1,446800,0.9
0,0,1,1,632100,0.9
0,0,0,1,1177500,0.9
1,0,1,0,5000,0.9
0,0,0,1,2000000,0.75
0,0,0,1,1150000,0.9
0,0,0,1,300000,0.75
0,0,0,0,71015,0.5
0,0,0,0,450000,0.9
1,0,0,0,100000,0.9
0,0,0,1,327000,0.9
1,0,0,0,200000,0.9
0,0,0,1,618000,0.9
0,0,0,0,100000,0.5
0,0,0,1,225000,0.9
0,0,1,0,1665000,0.9
0,0,0,1,250000,0.9
0,0,0,0,35000,0.9
1,0,0,0,69845,0.5
1,0,0,0,10000,0.9
0,0,0,0,50300,0.5
0,0,0,1,215000,1.0
0,0,0,0,135000,0.9
0,0,1,0,5000,0.9
0,0,1,0,50000,0.5
1,0,0,0,15000,0.85
0,0,0,0,158772,0.5
0,0,1,0,29700,0.5
0,0,0,0,15003,0.5
0,0,0,0,205000,0.75
0,0,0,0,250000,0.5
0,0,0,1,452000,1.0
0,0,0,0,55000,0.85
0,0,0,0,495000,0.9
0,0,0,1,538000,0.9
0,0,0,1,510000,0.9
0,0,0,0,500000,0.9
0,0,0,0,150000,0.9
0,0,0,1,512000,0.9
0,0,0,0,12781,0.5
0,0,1,0,90000,0.9
0,0,0,1,271800,0.9
0,0,0,0,285000,0.5
0,0,0,1,2315000,0.9
1,0,0,0,26289,0.5
0,0,0,0,14915,0.5
0,0,0,1,330000,1.0
1,0,1,1,921421,0.75
0,0,0,1,820000,0.75
0,0,0,1,1046000,1.0
0,0,0,1,906000,1.0
0,0,0,1,1152000,1.0
0,0,1,1,270000,1.0
0,0,0,0,80000,0.5
1,0,1,0,29685,0.5
1,0,0,0,100000,0.5
0,0,0,0,145800,0.85
0,0,0,1,338000,1.0
0,0,0,1,441000,1.0
0,0,0,0,150000,0.5
1,1,0,0,32774,0.5
0,0,0,1,502200,0.75
0,0,0,1,370800,0.75
0,0,0,1,697500,0.75
0,0,0,0,50459,0.5
0,0,0,0,113503,0.5
0,0,0,1,832500,0.75
1,0,0,0,60046,0.5
0,0,0,1,152000,1.0
0,0,1,1,308500,0.75
0,0,0,0,1050000,0.75
0,0,1,0,70871,0.5
0,0,0,0,353444,0.5
1,1,0,0,45476,0.5
0,0,0,0,78000,0.5
0,0,0,1,134000,1.0
1,0,0,0,650000,0.75
0,0,0,0,257000,0.75
0,0,0,0,193729,0.5
0,0,0,0,10300,0.5
0,0,0,1,1343000,1.0
0,0,0,1,541000,1.0
1,1,1,0,54783,0.5
1,0,1,0,207000,0.75
0,0,0,0,150000,0.85
0,0,0,1,576000,1.0
0,0,0,0,40000,0.5
0,0,0,0,23256,0.5
1,0,0,0,78050,0.5
1,0,0,0,40986,0.5
0,0,1,0,15000,0.85
0,0,0,1,444000,1.0
0,0,0,0,100000,0.5
0,0,0,0,56740,0.5
1,0,1,0,1000000,0.75
1,0,0,0,240000,0.75
1,1,0,0,60000,0.5
0,0,1,1,1435000,1.0
0,0,0,1,1215000,0.58
