G3 (label),age,studytime,famsup,higher,internet,health,absences,G1,G2
1,16,3,0,0,0,5,1,10,11
0,17,1,1,0,0,5,2,9,9
1,17,1,1,0,1,5,2,12,11
0,17,2,0,0,0,5,8,8,9
1,17,2,0,0,0,5,0,13,15
0,16,1,1,0,0,2,0,10,11
0,17,2,1,0,0,3,2,11,10
1,17,2,0,0,0,5,0,17,18
1,16,2,0,0,0,5,0,12,13
1,17,2,0,0,0,1,0,13,14
0,19,2,0,1,0,4,2,9,9
1,17,1,1,0,1,5,4,11,11
0,17,1,0,1,0,4,3,10,11
1,16,3,0,0,0,3,5,13,14
0,16,1,1,0,1,5,4,9,10
0,17,2,0,0,0,5,2,7,9
0,17,1,1,1,1,5,0,8,13
1,18,1,0,0,1,4,0,12,12
0,17,1,0,0,0,2,0,10,9
0,18,2,0,0,1,5,6,10,9
1,16,2,1,0,1,1,0,11,13
0,17,1,1,0,1,5,0,7,0
0,16,1,1,0,0,5,2,11,9
0,16,1,1,0,0,5,0,10,10
0,18,1,0,1,0,5,2,9,7
0,18,1,1,1,0,5,0,4,0
0,19,1,1,0,1,3,4,6,11
0,18,2,0,1,0,3,9,4,8
0,16,1,0,0,0,4,6,7,8
0,19,1,1,1,0,5,4,8,9
0,16,2,0,0,1,1,8,5,5
0,17,1,0,0,1,5,9,7,9
0,20,1,0,1,0,4,12,8,11
0,18,1,0,0,0,2,8,10,11
0,18,1,0,0,0,5,8,9,10
0,19,2,1,0,0,2,8,10,9
0,17,2,0,0,0,3,4,8,9
0,18,1,1,1,0,3,0,9,10
0,19,1,0,0,0,5,4,8,9
0,18,2,0,0,1,5,2,6,8
0,19,1,0,1,1,5,0,6,8
0,18,1,1,1,0,3,0,8,6
0,17,1,0,0,0,5,0,10,11
0,17,3,0,1,1,3,5,8,7
0,17,2,0,0,0,5,0,8,8
0,18,2,0,0,0,4,3,7,6
0,17,1,0,0,1,5,0,8,10
0,17,1,1,0,0,3,0,7,10
0,18,2,1,0,1,5,3,7,8
1,18,2,1,0,0,1,2,12,13
1,17,1,0,0,0,4,0,11,12
1,18,2,1,0,0,4,0,12,13
1,18,2,1,0,0,1,0,18,18
1,18,1,0,0,0,5,3,17,17
1,17,2,0,0,0,4,0,17,18
0,18,2,1,0,1,4,0,9,0
0,18,1,0,0,1,1,8,10,11
1,18,1,0,0,0,1,5,12,13
1,17,1,1,1,1,4,4,12,13
0,18,2,0,0,0,2,4,8,8
1,18,3,1,0,0,3,0,11,12
0,18,2,1,0,0,5,0,5,0
0,18,2,1,1,1,2,2,9,10
0,19,1,1,1,1,2,0,5,0
1,17,4,1,0,0,5,0,18,18
1,17,2,1,0,0,2,5,11,11
0,18,2,1,0,1,3,2,8,10
1,18,2,0,1,1,4,0,11,11
0,19,2,0,1,1,1,0,8,0
1,18,3,1,0,0,4,5,14,14
0,17,2,0,0,0,2,4,10,11
0,18,2,0,0,1,5,0,10,10
1,17,2,0,0,0,5,2,12,12
1,17,2,1,0,1,5,0,15,14
1,18,1,1,0,0,3,2,14,13
1,18,3,1,0,0,4,0,19,17
1,18,2,1,0,1,5,0,16,15
1,18,2,0,0,0,3,6,13,12
1,17,2,0,0,0,1,4,15,14
1,17,2,1,0,1,3,0,13,13
0,18,2,0,0,1,3,0,8,10
1,18,3,1,0,0,5,0,15,16
0,17,1,0,0,0,1,0,8,8
0,18,1,0,0,0,4,0,10,10
0,18,2,0,0,0,5,0,7,5
0,18,1,0,1,0,3,3,9,10
1,17,3,1,0,1,3,8,10,11
0,17,1,1,0,0,1,4,7,8
1,18,3,1,0,0,1,0,15,17
1,18,3,1,0,0,4,4,10,11
0,19,2,0,0,0,3,4,7,8
1,18,2,1,0,0,2,1,13,14
1,18,2,1,0,0,1,1,16,16
0,17,2,0,0,0,1,10,8,9
1,18,2,1,0,0,2,4,17,18
0,18,1,1,0,0,5,0,7,7
1,17,2,1,0,0,3,4,14,15
0,19,1,1,0,1,5,0,5,8
0,18,1,1,0,1,3,0,7,7
1,18,3,1,0,1,4,0,14,17
0,17,2,1,0,0,1,0,6,9
0,18,1,0,0,0,5,4,7,9
0,19,3,1,0,0,5,4,10,11
1,18,2,0,0,0,1,4,15,15
0,18,2,1,0,1,5,6,11,12
0,17,1,1,0,0,2,6,10,10
0,18,1,1,0,0,5,4,10,11
